1.549999, 1, -0.01, 5, 0, 0.0624637008948318418436591162, 615.2187, -511.6669, -5.557111, 0.000483026, 0.02479935, 31.7892, 0.3020116, 0.2679502, 0.0001962442
 
1.559999, -1, 0, 5, 0, 0.0630186330844341330915408838, 605.3256, -511.6669, -5.557111, 0.000483026, 0.02479935, 31.53298, 0.3020116, 0.2679502, 0.0001962442
 
1.569999, 1, -0.01, 5, 0, 0.0635780942106073412414591162, 595.6094, -511.6669, -5.557111, 0.000483026, 0.02479935, 31.27929, 0.3020116, 0.2679502, 0.0001962442
 
1.579999, -1, 0, 5, 0, 0.0641421276816881883024, 586.0665, -511.6669, -5.557111, 0.000483026, 0.02479935, 31.02811, 0.3020116, 0.2679502, 0.0001962442
 
1.589999, 1, -0.01, 5, 0, 0.0647108781921363692862, 576.6937, -511.6669, -5.557111, 0.000483026, 0.02479935, 30.77939, 0.3020116, 0.2679502, 0.0001962442
 
1.599999, -1, 0, 5, 0, 0.0652841865780467116410, 567.4861, -511.6669, -5.557111, 0.000483026, 0.02479935, 30.53307, 0.3020116, 0.2679502, 0.0001962442
 
1.609999, 1, -0.01, 5, 0, 0.0658625013922424756922, 558.4399, -511.6669, -5.557111, 0.000483026, 0.02479935, 30.28911, 0.3020116, 0.2679502, 0.0001962442
 
1.619999, -1, 0, 5, 0, 0.0664456924097104568292, 549.5515, -511.6669, -5.557111, 0.000483026, 0.02479935, 30.04747, 0.3020116, 0.2679502, 0.0001962442
 
1.629999, 1, -0.01, 5, 0, 0.0670338319776802131690, 540.8174, -511.6669, -5.557111, 0.000483026, 0.02479935, 29.80812, 0.3020116, 0.2679502, 0.0001962442
 
1.639999, -1, 0, 5, 0, 0.067626862218368098218, 532.2343, -511.6669, -5.557111, 0.000483026, 0.02479935, 29.571, 0.3020116, 0.2679502, 0.0001962442
 
1.649999, 1, -0.01, 5, 0, 0.0682250001734629310216591162, 523.799, -511.6669, -5.557111, 0.000483026, 0.02479935, 29.33608, 0.3020116, 0.2679502, 0.0001962442
 
1.659999, -1, 0, 5, 0, 0.0688283326596398919314591162, 515.5079, -511.6669, -5.557111, 0.000483026, 0.02479935, 29.10334, 0.3020116, 0.2679502, 0.0001962442
 
1.669999, 1, -0.01, 5, 0, 0.0694370477796956873571408838, 507.3581, -511.6669, -5.557111, 0.000483026, 0.02479935, 28.87271, 0.3020116, 0.2679502, 0.0001962442
 
