===========================================
timestamp_ms,temp_c,pressure_pa,alt_m
241596,12.70571,100028.9,108.4733
241754,12.7159,100030.6,108.3253
242590,12.72099,100034.1,108.032
242790,12.7159,100033.3,108.106
243596,12.72099,100031.5,108.254
243735,12.72609,100032.4,108.18
243874,12.72609,100029.8,108.4019
244526,12.72609,100029.8,108.4019
244669,12.72099,100036.8,107.8101
244815,12.73628,100034.1,108.032
245554,12.7159,100033.3,108.106
245700,12.73118,100033.3,108.106
245849,12.72609,100037.6,107.7361
246522,12.72099,100039.4,107.5881
246671,12.72609,100035.0,107.958
246821,12.74137,100032.4,108.18
247569,12.74137,100037.6,107.7361
247720,12.73628,100036.8,107.8101
248561,12.74647,100033.3,108.106
248713,12.74647,100033.3,108.106
248866,12.74137,100027.1,108.6239
249538,12.74647,100041.1,107.4428
249700,12.74137,100032.4,108.18
249857,12.75666,100035.0,107.9607
250541,12.75156,100031.5,108.254
250700,12.74647,100033.3,108.106
250860,12.76175,100035.9,107.8867
251586,12.74647,100035.9,107.884
251797,12.75666,100037.6,107.7387
252522,12.75156,100026.2,108.6979
252665,12.76175,100030.6,108.3279
252811,12.75666,100029.7,108.4019
253555,12.74647,100033.3,108.106
253702,12.76685,100036.7,107.8127
253848,12.76175,100035.9,107.8867
254527,12.75666,100029.7,108.4019
254675,12.76175,100030.6,108.3279
254827,12.75666,100029.7,108.4019
255569,12.76175,100030.6,108.3279
255724,12.76175,100030.6,108.3279
255878,12.76685,100028.9,108.4759
256542,12.76685,100031.5,108.254
256698,12.76685,100034.1,108.0347
256856,12.77194,100037.6,107.7387
257534,12.77194,100037.6,107.7387
257694,12.77704,100038.5,107.6647
257858,12.77704,100038.5,107.6647
258534,12.77704,100041.1,107.4428
258694,12.77704,100033.2,108.1086
258857,12.77704,100028.0,108.5499
259545,12.77704,100035.9,107.8867
259715,12.77704,100030.6,108.3279
259879,12.79232,100038.5,107.6647
260519,12.77704,100035.9,107.8867
260730,12.78723,100037.6,107.7387
260877,12.79232,100035.9,107.8867
261522,12.78723,100040.2,107.5194
261674,12.79741,100036.7,107.8127
261824,12.78723,100037.6,107.7387
262527,12.79741,100039.4,107.5934
262678,12.79741,100034.1,108.0347
262828,12.79232,100033.2,108.1086
263563,12.79741,100031.5,108.2566
263719,12.79741,100036.7,107.8127
264552,12.79232,100035.9,107.8867
264712,12.79741,100036.7,107.8127
264869,12.80251,100032.3,108.1826
265532,12.79741,100031.5,108.2566
265675,12.80251,100035.0,107.9607
265809,12.8076,100038.5,107.6674
266532,12.8127,100034.1,108.0347
266674,12.81779,100035.0,107.9607
266817,12.8076,100038.5,107.6674
267589,12.8127,100039.4,107.5934
267744,12.8127,100034.1,108.0347
268522,12.8076,100033.2,108.1086
268670,12.82798,100036.7,107.8153
268821,12.81779,100029.7,108.4046
269559,12.81779,100037.6,107.7414
269754,12.81779,100037.6,107.7414
270527,12.82289,100033.2,108.1086
270653,12.81779,100032.3,108.1826
270782,12.82289,100033.2,108.1086
271555,12.82798,100028.8,108.4786
271691,12.82289,100030.6,108.3306
271825,12.82289,100027.9,108.5525
272530,12.8127,100028.8,108.4786
272664,12.83308,100035.0,107.9633
272803,12.82798,100034.1,108.0373
273536,12.83308,100037.6,107.7414
273676,12.82798,100036.7,107.8153
273819,12.83817,100035.8,107.8893
274540,12.83308,100037.6,107.7414
274688,12.82798,100034.1,108.0373
274830,12.82798,100031.4,108.2592
275586,12.83308,100024.4,108.8485
275729,12.83817,100033.2,108.1113
275876,12.83817,100030.6,108.3332
276524,12.83817,100027.9,108.5552
276670,12.83817,100030.6,108.3332
276819,12.84327,100026.2,108.7031
277543,12.84327,100031.4,108.2592
277697,12.84327,100036.7,107.8153
278546,12.84836,100034.9,107.9633
278699,12.84836,100034.9,107.9633
279549,12.84836,100032.3,108.1853
279681,12.84836,100029.7,108.4072
279815,12.85346,100033.2,108.1113
